NEXUS QA SCAN REPORT
Scan ID,eb03a057-a4ce-42ab-a9a4-408bb70a0aec
Target URL,wps.bgvchecker.com
Target Type,software
Scan Mode,full
Status,done
Score,5/100
Generated,2026-03-10 04:56 UTC
Completed,2026-03-10 04:56:25.296330

FINDINGS SUMMARY
Severity,Count
Critical,0
High,5
Medium,17
Low,28
Auto-Fixed,5
JIRA Created,5

EXECUTIVE SUMMARY
NEXUS QA FULL agent completed analysis for SOFTWARE at wps.bgvchecker.com. Detected 5 priority issues and 45 warnings. AI successfully auto-healed 5 items. Health Score: 5/100.
